X,CH1,Start,Increment,
Sequence,Volt,-1.200000e-05,2.000000e-08
0,8.00e-02,
1,0.00e+00,
2,0.00e+00,
3,8.00e-02,
4,0.00e+00,
5,8.00e-02,
6,8.00e-02,
7,0.00e+00,
8,8.00e-02,
9,0.00e+00,
10,0.00e+00,
11,8.00e-02,
12,8.00e-02,
13,0.00e+00,
14,8.00e-02,
15,0.00e+00,
16,0.00e+00,
17,8.00e-02,
18,8.00e-02,
19,0.00e+00,
20,0.00e+00,
21,8.00e-02,
22,8.00e-02,
23,0.00e+00,
24,8.00e-02,
25,0.00e+00,
26,8.00e-02,
27,0.00e+00,
28,0.00e+00,
29,3.44e+00,
30,3.28e+00,
31,3.44e+00,
32,3.44e+00,
33,3.28e+00,
34,3.28e+00,
35,3.44e+00,
36,3.44e+00,
37,3.28e+00,
38,3.28e+00,
39,3.44e+00,
40,3.36e+00,
41,3.28e+00,
42,3.28e+00,
43,3.44e+00,
44,3.36e+00,
45,3.28e+00,
46,3.28e+00,
47,3.36e+00,
48,3.36e+00,
49,3.28e+00,
50,3.36e+00,
51,3.28e+00,
52,3.36e+00,
53,3.28e+00,
54,3.36e+00,
55,3.28e+00,
56,3.36e+00,
57,3.28e+00,
58,3.36e+00,
59,3.28e+00,
60,3.28e+00,
61,3.36e+00,
62,3.28e+00,
63,3.36e+00,
64,3.36e+00,
65,3.28e+00,
66,3.36e+00,
67,3.28e+00,
68,3.28e+00,
69,3.36e+00,
70,3.36e+00,
71,3.28e+00,
72,3.28e+00,
73,3.36e+00,
74,3.28e+00,
75,3.36e+00,
76,3.36e+00,
77,3.28e+00,
78,3.28e+00,
79,3.36e+00,
80,3.36e+00,
81,3.28e+00,
82,3.36e+00,
83,3.28e+00,
84,3.28e+00,
85,3.36e+00,
86,3.28e+00,
87,3.36e+00,
88,3.28e+00,
89,3.36e+00,
90,3.36e+00,
91,3.28e+00,
92,3.36e+00,
93,3.28e+00,
94,3.28e+00,
95,3.36e+00,
96,3.28e+00,
97,3.36e+00,
98,3.36e+00,
99,3.28e+00,
100,3.36e+00,
101,3.28e+00,
102,3.28e+00,
