X,CH1,Start,Increment,
Sequence,Volt,-1.200000e-05,2.000000e-08
0,3.36e+00,
1,3.28e+00,
2,3.36e+00,
3,3.28e+00,
4,3.36e+00,
5,3.28e+00,
6,3.36e+00,
7,3.28e+00,
8,3.36e+00,
9,0.00e+00,
10,-8.00e-02,
11,8.00e-02,
12,8.00e-02,
13,-8.00e-02,
14,8.00e-02,
15,0.00e+00,
16,8.00e-02,
17,0.00e+00,
18,8.00e-02,
19,0.00e+00,
20,0.00e+00,
21,8.00e-02,
22,0.00e+00,
23,8.00e-02,
24,0.00e+00,
25,8.00e-02,
26,0.00e+00,
27,8.00e-02,
28,8.00e-02,
29,0.00e+00,
30,0.00e+00,
31,8.00e-02,
32,0.00e+00,
33,8.00e-02,
34,0.00e+00,
35,8.00e-02,
36,8.00e-02,
37,0.00e+00,
38,8.00e-02,
39,0.00e+00,
40,8.00e-02,
41,0.00e+00,
42,0.00e+00,
43,8.00e-02,
44,0.00e+00,
45,8.00e-02,
46,0.00e+00,
47,8.00e-02,
48,8.00e-02,
49,0.00e+00,
50,8.00e-02,
51,0.00e+00,
52,8.00e-02,
53,0.00e+00,
54,8.00e-02,
55,0.00e+00,
56,8.00e-02,
57,0.00e+00,
58,0.00e+00,
59,8.00e-02,
60,0.00e+00,
61,8.00e-02,
62,8.00e-02,
63,0.00e+00,
64,0.00e+00,
65,8.00e-02,
66,8.00e-02,
67,0.00e+00,
68,8.00e-02,
69,0.00e+00,
70,0.00e+00,
71,8.00e-02,
72,8.00e-02,
73,0.00e+00,
74,8.00e-02,
75,0.00e+00,
76,8.00e-02,
77,0.00e+00,
78,0.00e+00,
79,8.00e-02,
80,0.00e+00,
81,8.00e-02,
82,8.00e-02,
83,0.00e+00,
84,8.00e-02,
85,0.00e+00,
86,8.00e-02,
87,0.00e+00,
88,0.00e+00,
89,8.00e-02,
90,8.00e-02,
91,0.00e+00,
92,0.00e+00,
93,8.00e-02,
94,0.00e+00,
95,8.00e-02,
96,0.00e+00,
97,8.00e-02,
98,0.00e+00,
99,8.00e-02,
100,0.00e+00,
101,8.00e-02,
102,0.00e+00,
103,8.00e-02,
104,0.00e+00,
105,8.00e-02,
106,0.00e+00,
107,8.00e-02,
108,0.00e+00,
109,8.00e-02,
110,8.00e-02,
111,0.00e+00,
112,0.00e+00,
113,1.60e-01,
114,8.00e-02,
115,0.00e+00,
116,0.00e+00,
117,8.00e-02,
118,8.00e-02,
119,0.00e+00,
120,0.00e+00,
121,8.00e-02,
122,8.00e-02,
123,0.00e+00,
124,8.00e-02,
125,0.00e+00,
126,0.00e+00,
127,8.00e-02,
128,0.00e+00,
129,8.00e-02,
130,0.00e+00,
131,8.00e-02,
132,8.00e-02,
133,0.00e+00,
134,0.00e+00,
135,8.00e-02,
136,0.00e+00,
137,8.00e-02,
138,8.00e-02,
139,0.00e+00,
140,8.00e-02,
141,0.00e+00,
142,0.00e+00,
143,8.00e-02,
144,0.00e+00,
145,8.00e-02,
146,8.00e-02,
147,0.00e+00,
148,8.00e-02,
149,0.00e+00,
150,8.00e-02,
151,0.00e+00,
152,8.00e-02,
153,0.00e+00,
154,8.00e-02,
155,0.00e+00,
156,0.00e+00,
157,8.00e-02,
158,0.00e+00,
159,1.60e-01,
160,0.00e+00,
161,8.00e-02,
162,0.00e+00,
163,8.00e-02,
164,0.00e+00,
165,8.00e-02,
166,8.00e-02,
167,0.00e+00,
168,8.00e-02,
169,0.00e+00,
170,8.00e-02,
171,0.00e+00,
172,0.00e+00,
173,8.00e-02,
174,0.00e+00,
175,8.00e-02,
176,0.00e+00,
177,8.00e-02,
178,0.00e+00,
179,8.00e-02,
180,8.00e-02,
181,0.00e+00,
182,0.00e+00,
183,8.00e-02,
184,8.00e-02,
185,0.00e+00,
186,0.00e+00,
187,8.00e-02,
188,0.00e+00,
189,8.00e-02,
190,8.00e-02,
191,0.00e+00,
192,0.00e+00,
193,8.00e-02,
194,0.00e+00,
195,8.00e-02,
196,8.00e-02,
197,0.00e+00,
198,8.00e-02,
199,0.00e+00,
200,8.00e-02,
201,0.00e+00,
202,8.00e-02,
203,0.00e+00,
204,8.00e-02,
205,0.00e+00,
206,0.00e+00,
207,3.04e+00,
208,2.96e+00,
209,3.44e+00,
210,3.44e+00,
211,3.28e+00,
212,3.36e+00,
213,3.28e+00,
214,3.28e+00,
215,3.44e+00,
216,3.28e+00,
217,3.44e+00,
218,3.36e+00,
219,3.28e+00,
220,3.28e+00,
221,3.44e+00,
222,3.36e+00,
223,3.28e+00,
224,3.28e+00,
225,3.36e+00,
226,3.28e+00,
227,3.36e+00,
228,3.28e+00,
229,3.36e+00,
230,3.28e+00,
231,3.36e+00,
232,3.28e+00,
233,3.36e+00,
234,3.36e+00,
235,3.28e+00,
236,3.36e+00,
237,3.28e+00,
238,3.36e+00,
239,3.28e+00,
240,3.36e+00,
241,3.28e+00,
242,3.36e+00,
243,3.28e+00,
244,3.36e+00,
245,3.28e+00,
246,3.36e+00,
247,3.28e+00,
248,3.36e+00,
249,3.28e+00,
250,3.28e+00,
251,3.36e+00,
252,3.28e+00,
253,3.36e+00,
254,3.36e+00,
255,3.28e+00,
256,3.28e+00,
257,3.36e+00,
258,3.36e+00,
259,3.28e+00,
260,3.28e+00,
261,3.36e+00,
262,3.36e+00,
263,3.28e+00,
264,3.36e+00,
265,3.28e+00,
266,3.36e+00,
267,3.28e+00,
268,3.28e+00,
269,3.36e+00,
270,3.28e+00,
271,3.36e+00,
272,3.36e+00,
273,3.28e+00,
274,3.28e+00,
